TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Home Circuit (Circuit),#D89371,"Two Short, One Long Beep",,FALSE,,,,,,,,,,,4,00:01:30,0,,,Squat to Single Leg Stabilisation,#8B1414,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plank - Wide Hands,#49148B,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Banded Pull Aparts,#4CFAD0,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lunge - Forward to reverse (L),#8B1414,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lunge - Forward to reverse (R),#A24343,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plank (Forearms),#49148B,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Banded Diagonal Pull Apart (L),#4CFAD0,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Banded Diagonal Pull Apart (R),#39BC9C,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Single Leg Hip Bridge (L),#8B1414,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Single Leg Hip Bridge (R),#A24343,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,00:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Push Ups (with Shoulder Tap),#49148B,,00:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Prone Swimmers,#4CFAD0,,00:00:45,,,,FALSE,,,
