TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Strike Force (Martial Arts/Boxing),#67FBD7,Without Count,One Vibration,TRUE,00:02:00,,00:00:01,,00:00:04,,,,,,4,00:00:30,,,,Head,#8B1414,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Body,#FA4C4C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Thigh,#FAE84C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Calf,#4CFAD0,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hands Head,#49148B,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hands Body,#FF9800,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kick Head,#1886EC,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kick Body,#148B76,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Push Up,#67E5ED,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Head,#8B1414,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Body,#FA4C4C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Thigh,#FAE84C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Calf,#4CFAD0,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hands Head,#49148B,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hands Body,#FF9800,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kick Head,#1886EC,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kick Body,#148B76,,,,,,FALSE,,,
