TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Abs Salute (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Hollow Body Alt Leg Raises,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Oblique Crunches,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crunches,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Knee Tuck to Pike,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Sit Flutter Kicks,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Alt Leg Raises,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Oblique Crunches,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crunches,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Knee Tuck to Pike,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Sit Flutter Kicks,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Alt Leg Raises,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Oblique Crunches,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crunches,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Knee Tuck to Pike,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Sit Flutter Kicks,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Alt Leg Raises,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Oblique Crunches,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crunches,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hollow Body Knee Tuck to Pike,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Sit Flutter Kicks,#4CFAD0,,0:00:15,,,,FALSE,,,
