TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Core & Arms (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Crab Toe Touch,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Up + Tuck Up,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sit Through,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (R),#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (L),#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crab Toe Touch,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Up + Tuck Up,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sit Through,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (R),#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (L),#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crab Toe Touch,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Up + Tuck Up,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sit Through,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (R),#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (L),#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crab Toe Touch,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Up + Tuck Up,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sit Through,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (R),#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (L),#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Crab Toe Touch,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,V Up + Tuck Up,#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sit Through,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (R),#FFCB41,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Raised Single Leg Push Up (L),#4CFAD0,,0:00:15,,,,FALSE,,,
