TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Death By Burpees (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,One Burpee,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Two Burpees,#4CFAD0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Three Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Four Burpees,#4CFAD1,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Five Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Six Burpees,#4CFAD2,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seven Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Eight Burpees,#4CFAD3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Nine Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Ten Burpees,#4CFAD4,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,11 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,12 Burpees,#4CFAD5,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,13 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,14 Burpees,#4CFAD6,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,15 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,16 Burpees,#4CFAD7,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,17 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,18 Burpees,#4CFAD8,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,19 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,20 Burpees,#4CFAD9,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,21 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,22 Burpees,#4CFAD10,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,23 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,24 Burpees,#4CFAD11,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,25 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,26 Burpees,#4CFAD12,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,27 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,28 Burpees,#4CFAD13,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,29 Burpees,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,30 Burpees,#4CFAD14,,0:01:00,,,,FALSE,,,
