TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Dumbbell 600 (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Squat to Press,#8B1414,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpees to Row,#FAE84C,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL to Squat,#FA4CAA,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jump Lunge,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Squat to Press,#8B1414,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpees to Row,#FAE84C,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL to Squat,#FA4CAA,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jump Lunge,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Squat to Press,#8B1414,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpees to Row,#FAE84C,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL to Squat,#FA4CAA,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jump Lunge,#4CFAD0,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Squat to Press,#8B1414,,0:00:15,,,,FALSE,,,
