TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Hyrox Advanced (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,2,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SkiErg,#4CFAD0,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sled Push (152/202kg - F/M),#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sled Pull (103/153kg - F/M),#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee Broad Jumps,#FAE84C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rowing Machine,#1886EC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmers Carry (x2 24/32kg - F/M),#8B1414,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sandbag Lunges  (20/30kg - F/M),#49148B,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Balls  (6/9kg - F/M),#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:45,,,,FALSE,,,
