TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Hyrox Novice (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,2,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SkiErg,#4CFAD0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sled Push (75/100kg - F/M),#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sled Pull (60/75kg - F/M),#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee Broad Jumps,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rowing Machine,#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmers Carry (x2 14/20kg - F/M),#8B1414,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Sandbag Lunges  (8/15kg - F/M),#49148B,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Run,#FA4C4C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Balls  (4/6kg - F/M),#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:02:00,,,,FALSE,,,
