TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Spartan (Circuit),#D89371,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Warm Up,#148B76,,0:10:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reverse Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rowing Machine,#FA4C4C,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Box Jump overs,#1886EC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FAE84C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Balls,#8B1414,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#49148B,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmers Carry,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dead Hang,#4CFAD0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reverse Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rowing Machine,#FA4C4C,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Box Jump overs,#1886EC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FAE84C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Balls,#8B1414,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#49148B,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmers Carry,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dead Hang,#4CFAD0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reverse Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rowing Machine,#FA4C4C,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Box Jump overs,#1886EC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FAE84C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Balls,#8B1414,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lunges,#FA4CAA,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#49148B,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmers Carry,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dead Hang,#4CFAD0,,0:02:00,,,,FALSE,,,
