TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Spin Out [British Cycling],#FBEB67,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,[Warmup] 90rpm,#1886EC,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 95rpm,#148B76,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 100rpm,#4CFAD0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 105rpm,#49148B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 110rpm,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 120-130rpm,#8B1414,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 90rpm,#1886EC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 90rpm,#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 90rpm,#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warmup] 90rpm,#1886EC,,0:02:42,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Near Max rpm (easy gear),#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"MAX rpm (+130, easy gear)",#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Recovery (Z1),#DBDBDB,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Near Max rpm (easy gear),#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"MAX rpm (+130, easy gear)",#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Recovery (Z1),#DBDBDB,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Near Max rpm (easy gear),#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"MAX rpm (+130, easy gear)",#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Recovery (Z1),#DBDBDB,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Near Max rpm (easy gear),#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"MAX rpm (+130, easy gear)",#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Cool Down,#1886EC,,0:10:00,,,,FALSE,,,
