TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Warm up [British Cycling],#FBEB67,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,90rpm,#1886EC,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,95rpm,#148B76,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,100rpm,#4CFAD0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,105rpm,#49148B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,110rpm,#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,120-130rpm,#8B1414,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,90rpm,#1886EC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,90rpm,#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,90rpm,#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,MAX RPM...GO GO GO,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,90rpm,#1886EC,,0:02:42,,,,FALSE,,,
