TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Heavy Bag (Words-Beginner) (Martial Arts/Boxing),#67FBD7,Without Count,,FALSE,,,,,,,,,,,1,,,,,Jab,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross Hook,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross Hook,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross Hook,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Jab Cross Hook,#FAE84C,,0:00:05,,,,FALSE,,,
