TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Heavy Bag (Beginner) (Martial Arts/Boxing),#67FBD7,Without Count,,FALSE,,,,,,,,,,,1,,,,,1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#49148B,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#49148B,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#49148B,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#FAE84C,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 4,#49148B,,0:00:06,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1 4,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1 4,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1 4,#49148B,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 1,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#FAE84C,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1,#49148B,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1,#FAE84C,,0:00:02,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1 2,#FAE84C,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1 2,#49148B,,0:00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1 2,#FAE84C,,0:00:03,,,,FALSE,,,
