TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Heavy Bag Work (Martial Arts/Boxing),#67FBD7,Without Count,,TRUE,0:02:00,,0:00:02,,0:00:05,,,,,,5,0:00:30,,,,1,#1886EC,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1 2 ,#4CFAD0,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 1,#148B76,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2,#8B1414,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 6,#49148B,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3,#FA4C4C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 6 3,#8B1414,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"1 1 2, Slip, 2",#FA4CAA,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"1 2 3, Slip, 5",#FF9800,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1 2 3 2,#FAE84C,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,6 3 2,#BDF1FF,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
