TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Legzitsu (Martial Arts/Boxing),#67FBD7,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Duck Walk,#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Penetration Knee,#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Shikko Walk,#4CFAD0,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reset,#49148B,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Duck Walk,#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Penetration Knee,#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Shikko Walk,#4CFAD0,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reset,#49148B,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Duck Walk,#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Penetration Knee,#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Shikko Walk,#4CFAD0,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reset,#49148B,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Duck Walk,#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Penetration Knee,#FA4C4C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Shikko Walk,#4CFAD0,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Burpee to Skater Jump,#FA4CAA,,0:01:00,,,,FALSE,,,
