TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Footloose (Running),#9C3737,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Warm Up ,#148B76,,0:10:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,10km Running Pace,#3F9AEF,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,5km Running Pace,#06C212,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,3km Running Pace,#FF9800,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,5km Running Pace,#06C212,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,3km Running Pace,#FF9800,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,3km Running Pace,#FF9800,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:01:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:50,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:50,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:40,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,1.5km Running Pace,#FF3B30,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Walk,#9DCFC6,,0:01:30,,,,FALSE,,,
