TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Hill Hell (Running),#9C3737,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,[Warm Up] Flat,#1886EC,,0:08:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm Up] 2% Gradient,#0068C4,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm Up] Easy Jog (flat),#006596,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,GO! 8% - Fast (>1.5km speed),#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest - Flat (walk/easy jog),#49148B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,GO! 8% - Fast (>1.5km speed),#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest - Flat (walk/easy jog),#49148B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,GO! 8% - Fast (>1.5km speed),#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest - Flat (walk/easy jog),#49148B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,GO! 8% - Fast (>1.5km speed),#FA4C4C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest - Flat (walk/easy jog),#49148B,,0:02:00,,,,FALSE,,,
