TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Stride Mechanix (Running),#9C3737,Four Beeps (Default),,FALSE,,,,,,,,,,,2,,,,,A-Skip,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B76,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,B-Skip,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B77,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Ankling,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B78,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Froggy Skips,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B79,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Adductor Skips,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B80,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Straight Leg  Bound,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B81,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Fast Leg (R),#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Transition,#148B82,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Fast Leg (L),#FAE84C,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#1886EC,,0:01:00,,,,FALSE,,,
