TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Absolute Corenage (Strength),#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,4,0:01:30,,,,Hollow Body Hold,#FAE84C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dead-Bug,#FF9800,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Cable Crunch,#FA4CAA,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Pallof Press (L),#4CFAD0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Pallof Press (R),#4CFAD0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Side Plank (L),#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Side Plank (R),#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Stability Ball Jackknife,#FA4C4C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Farmer Carry (Heavy),#49148B,,0:01:30,,,,FALSE,,,
