TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
"Ah, Push It (Strength)",#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Dumbbell Press (Flat Bench),#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Press (Flat Bench),#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Press (Flat Bench),#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Press (Flat Bench),#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Landmine Press (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plyo Push Up,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
