TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Empire Strikes Back (Strength),#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Overhand Pull Ups,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Overhand Pull Ups,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Overhand Pull Ups,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Overhand Pull Ups,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Barbell Row,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Barbell Row,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Barbell Row,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Barbell Row,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Cable Row (Close Grip),#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Cable Row (Close Grip),#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Cable Row (Close Grip),#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Cable Row (Close Grip),#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,EZ-Bar Curl,#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,EZ-Bar Curl,#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,EZ-Bar Curl,#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,EZ-Bar Curl,#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,DB Hammer Curl,#FA4C4C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,DB Hammer Curl,#FA4C4C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,DB Hammer Curl,#FA4C4C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,DB Hammer Curl,#FA4C4C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Underhand Pulldown,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Underhand Pulldown,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Underhand Pulldown,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Underhand Pulldown,#FA4CAA,,0:00:45,,,,FALSE,,,
