TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Number 1 Pullsh*t (Strength),#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Pull Up (Neutral Grip),#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Pull Up (Neutral Grip),#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Pull Up (Neutral Grip),#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Pull Up (Neutral Grip),#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,TRX Body Row,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,TRX Body Row,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,TRX Body Row,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,TRX Body Row,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (L),#8B1414,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#202020,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Row (R),#8B1414,,0:00:45,,,,FALSE,,,
