TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Peaches and Scream (Strength),#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,RDL,#8B1414,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#8B1414,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#8B1414,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,RDL,#8B1414,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (L),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch Legs,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (R),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (L),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch Legs,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (R),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (L),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch Legs,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (R),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (L),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch Legs,#DBDBDB,,0:00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall T Isometric Hold (R),#FA4CAA,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plank + Alternate Straight Leg Heal Raise,#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plank + Alternate Straight Leg Heal Raise,#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Plank + Alternate Straight Leg Heal Raise,#49148B,,0:00:45,,,,FALSE,,,
