TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Shrug Life (Strength),#31776B,Four Beeps (Default),,FALSE,,,,,,,,,,,1,,,,,Standing Military Press,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Standing Military Press,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Standing Military Press,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Standing Military Press,#FF9800,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Dumbbell Press,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Dumbbell Press,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Dumbbell Press,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Dumbbell Press,#FAE84C,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Shrug,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Shrug,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Shrug,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Dumbbell Shrug,#FA4CAA,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Face Pull,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Face Pull,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Face Pull,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Face Pull,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lateral Raise,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lateral Raise,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lateral Raise,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lateral Raise,#4CFAD0,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rear Delt Fly,#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rear Delt Fly,#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rear Delt Fly,#49148B,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rear Delt Fly,#49148B,,0:00:45,,,,FALSE,,,
