TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Basic Stretch (Stretch),#64379C,"Two Short, One Long Beep",,FALSE,,,,,,,,,,,1,,,,,Calf (L),#B38B73,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Calf (R),#FFD6BD,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Quad (L),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Quad (R),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hamstring (L),#73A5B3,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Hamstring (R),#385C66,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Adductor (L),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Adductor (R),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Glute (L),#BDF1FF,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Glute (R),#97D8CC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Back,#4F403C,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Chest (L),#E6BBAB,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Chest (R),#CBA6A0,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Triceps (L),#8B6C63,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Triceps (R),#B38B73,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck (L),#587674,,0:00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck (R),#2D3E3B,,0:00:45,,,,FALSE,,,
