TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Desk Detox (Stretch),#64379C,"Two Short, One Long Beep",,FALSE,,,,,,,,,,,1,,,,,Foam-Roll Mid Back,#148B76,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Cat-Camel Stretch (hands & knees, round then arch)",#1886EC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Door-Frame Chest Stretch (L),#49148B,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Door-Frame Chest Stretch (R),#49148B,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Chin Tuck Neck Stretch,#C07872,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Half_Kneeling Hip_Flexor Stretch (L),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Half_Kneeling Hip_Flexor Stretch (R),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Single_Leg Hamstring Stretch (L),#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Single_Leg Hamstring Stretch (R),#B38B73,,0:02:00,,,,FALSE,,,
