TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Shoulder & Back Mobility (Stretch),#64379C,"Two Short, One Long Beep",,FALSE,,,,,,,,,,,1,,,,,"Rhomboid Stretch (Clasp hands together, reach forward, flare elbows)",#B38B73,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Rhomboid Stretch (Clasp hands together, reach forward, flare elbows)",#B38B73,,0:00:40,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Rhomboid Stretch (Clasp hands together, reach forward, flare elbows)",#B38B73,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Rest,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Left ear to shoulder,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Right ear to shoulder,#389d8b,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Left ear to shoulder,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Right ear to shoulder,#389d8b,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Left ear to shoulder,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Right ear to shoulder,#389d8b,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Left ear to shoulder,#148B76,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck - Right ear to shoulder,#389d8b,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Left,#1886EC,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Right,#007999,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Left,#1886EC,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Right,#007999,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Left,#1886EC,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Right,#007999,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Left,#1886EC,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Neck  - Look Right,#007999,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Reach Under Rotations (hands & knees, ""thread the needle"") (L)",#E6BBAB,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations (R),#CBA6A0,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations  (L),#E6BBAB,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations (R),#CBA6A0,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations  (L),#E6BBAB,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations (R),#CBA6A0,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations  (L),#E6BBAB,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations (R),#CBA6A0,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Reach Under Rotations  (L),#E6BBAB,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Floor ""Snow Angel"" Arm Sweeps",#49148B,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kneeling Lat Stretch on Wall (L),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Kneeling Lat Stretch on Wall (R),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Internal Shoulder Stretch (Side Lying) (L),#385C66,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Internal Shoulder Stretch (Side Lying) (R),#2D3E3B,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Across-Chest Rear-Shoulder Stretch (L),#BDF1FF,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Across-Chest Rear-Shoulder Stretch (R),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Wall Slide Lift Off (Slow and Controlled),#587674,,0:01:00,,,,FALSE,,,
