TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Core & Twist (Intermediate) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,[Warm-Up] Child's Pose (settle & breathe),#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Cat-Cow (Tabletop),#FFD6BD,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Downward Dog (pedal legs),#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Warm-Up] Sun Salutation A (2 rounds, ~2 min each)",#FFD6BD,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Crescent Lunge (Right),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Revolved Crescent Lunge (Right),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Crescent Lunge (Left),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Revolved Crescent Lunge (Left),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Chair Twist (Right),#66432D,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Chair Twist (Left),#C07872,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Flow] Rest/transition between sides/poses,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Plank Holds (30s x 3),#BDF1FF,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Child's Pose (brief rest),#97D8CC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Forearm Plank _ Side Plank (Right),#BDF1FF,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Forearm Plank _ Side Plank (Left),#97D8CC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Boat Pose (Navasana) - 2 sets (30Ð45s each),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Core Strength] Transition / short rest,#97D8CC,,0:01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Twists] Revolved Triangle (Right),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Twists] Revolved Triangle (Left),#856957,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Twists] Seated Spinal Twist (Right),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Twists] Seated Spinal Twist (Left),#856957,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Twists] Transition / rest,#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Right),#E6BBAB,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Left),#CBA6A0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Cool-Down] Bridge Pose (2 rounds, ~5 breaths each)",#E6BBAB,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Supine Twist (Right + Left),#CBA6A0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#E6BBAB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
