TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Energising Flow (Intermediate) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,"[Breath & Intention] Comfortable seat, eyes closed (settle)",#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Breath & Intention] Slow, steady inhalations/exhalations",#FFD6BD,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Breath & Intention] Set energetic intention,#B38B73,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 1,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 2,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 3,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 4,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 5,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation B] Cycle 1 (Chair into Warrior I),#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation B] Cycle 2,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation B] Cycle 3,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior II (Right),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior II (Left),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Reverse Warrior (Right),#BDF1FF,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Reverse Warrior (Left),#97D8CC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Extended Side Angle (Right),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Extended Side Angle (Left),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Tree Pose (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Tree Pose (Left),#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Half Moon (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Half Moon (Left),#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Boat Pose (Navasana) - Set 1,#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Rest in Easy Pose,#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Boat Pose (Navasana) - Set 2,#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Rest / Transition,#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Core] Boat Pose (Navasana) - Set 3,#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Floor Work & Backbends] Locust or Bow - 2 rounds (~1 min each + rest),#E6BBAB,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Floor Work & Backbends] Bridge Pose - 2Ð3 rounds (5 breaths each),#CBA6A0,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Floor Work & Backbends] Wheel Pose (optional) - 1 round (5Ð8 breaths),#E6BBAB,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Floor Work & Backbends] Transition & short rest,#CBA6A0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down & Twist] Happy Baby (Ananda Balasana),#BE8C85,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down & Twist] Supine Twist (Right + Left),#8B6C63,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down & Twist] Transition to Savasana,#BE8C85,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
