TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Flex & Strength (Advanced) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,"[Opening Meditation] Sit quietly, focus on breath or mantra",#587674,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Dynamic Warm-Up] Sun Salutation A (2Ð3 rounds, ~2 min each)",#FFD6BD,,0:06:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Dynamic Warm-Up] Sun Salutation B (1Ð2 rounds, ~2 min each)",#BE8C85,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Long-Hold Standing] Warrior II (Right) - 1 min, Reverse Warrior - 1 min, Side Angle - 1 min",#2D3E3B,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Long-Hold Standing] Warrior II (Left) - same breakdown,#66432D,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Long-Hold Standing] Triangle (Right) - 1Ð2 min,#2D3E3B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Long-Hold Standing] Triangle (Left) - 1Ð2 min,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Long-Hold Standing] Transition / short rests,#2D3E3B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Long-Hold Standing] Half Moon (Right & Left) (if desired),#66432D,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Balances & Deeper Hips] Dancer's Pose (R & L), ~1 min each",#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Balances & Deeper Hips] Eagle Pose (R & L), ~1 min each",#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Deeper Hips] Transition / short rest,#97D8CC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Deeper Hips] Pigeon Prep or Lizard Pose,#BDF1FF,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Advanced Backbends] Camel (Ustrasana) or Kapotasana (if advanced) - 2 rounds,#73A5B3,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Advanced Backbends] Wheel (Urdhva Dhanurasana) - 2 rounds, 5Ð8 breaths each",#856957,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Advanced Backbends] Transition / rest,#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions & Core] Forearm Stand (Pincha) or Headstand (Sirsasana),#4F403C,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions & Core] Handstand attempts / Boat Pose (core),#618B84,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions & Core] Child's Pose / short rest,#4F403C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Right),#587674,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Left),#618B84,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Forward Fold (Paschimottanasana),#587674,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Supine Twist (Right + Left),#618B84,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#587674,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
