TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Foundational Flow (Beginner) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,"[Centering & Breath] Sit comfortably, close eyes (settle in)",#B38B73,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Centering & Breath] Focus on slow breathing,#FFD6BD,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Centering & Breath] Set intention,#B38B73,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Seated Neck Rolls (Clockwise),#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Seated Neck Rolls (Counter-Clockwise),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Seated Side Stretch (Left),#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Seated Side Stretch (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Cat-Cow (Tabletop),#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 1 (Full flow),#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 2,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 3,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 4,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutation A] Cycle 5,#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior I (Right),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior I (Left),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior II (Right),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior II (Left),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Triangle (Right),#97D8CC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Triangle (Left),#BDF1FF,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Gentle Balances] Tree Pose (Right),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Gentle Balances] Tree Pose (Left),#856957,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Gentle Balances] Transition/Rest,#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Forward Fold (Paschimottanasana),#E6BBAB,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Right),#CBA6A0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Left),#E6BBAB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#CBA6A0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#BE8C85,,0:05:00,,,,FALSE,,,
