TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Gentle Full Body Release (Beginner) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,"[Grounding] Lie on back, arms by sides (settle & breathe)",#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Grounding] Focus on breath, gentle belly expansion",#FFD6BD,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Supine Knee-to-Chest,#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Supine Twist (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Supine Twist (Left),#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Bridge Pose (Gentle lifts),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Transition to standing/tabletop,#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Modified Sun Salutations] Cycle 1 (Slow flow, Mountain _ Knees-Down Plank)",#C07872,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Modified Sun Salutations] Cycle 2,#66432D,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Modified Sun Salutations] Cycle 3,#C07872,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Modified Sun Salutations] Cycle 4,#66432D,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Chair Pose (Utkatasana),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior II (Right),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Warrior II (Left),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Reverse Warrior (Right),#BDF1FF,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Reverse Warrior (Left),#97D8CC,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Poses] Transition / short rest,#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Seated & Prone] Seated Wide-Leg Forward Fold (Upavistha Konasana),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Seated & Prone] Child's Pose,#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Seated & Prone] Sphinx Pose (gentle backbend),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Final Relaxation] Legs-Up-the-Wall (Viparita Karani),#BE8C85,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Final Relaxation] Savasana,#8B6C63,,0:05:00,,,,FALSE,,,
