TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Strength & Balance (Intermediate) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,[Centering] Mountain Pose or simple seat (settle & breathe),#B38B73,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Centering] Set intention (“I build steady strength”),#FFD6BD,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Warm-Up Flow] Sun Salutation A (2 rounds, ~2 min each)",#385C66,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Warm-Up Flow] Sun Salutation B (2 rounds, ~3 min each)",#2D3E3B,,0:06:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior II (Right),#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior II (Left),#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Reverse Warrior (Right),#66432D,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Reverse Warrior (Left),#C07872,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Extended Side Angle (Right),#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Extended Side Angle (Left),#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Transition / short rest,#66432D,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior III (Right),#C07872,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Sequence] Warrior III (Left),#66432D,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Crow Pose (Bakasana) - short holds (5–10s repeated),#BDF1FF,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Optional Side Crow (Parsva Bakasana) practice,#97D8CC,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Transition / rest,#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Backbends] Locust Pose (Salabhasana) - 2 rounds (1 min each),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Backbends] Bow Pose (Dhanurasana) - 1 round (~1 min),#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Backbends] Bridge Pose (1–2 rounds, 5 breaths each)",#73A5B3,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Backbends] Wheel Pose (optional, 5–8 breaths)",#856957,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Backbends] Transition / short rest,#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Forward Fold (Paschimottanasana),#CBA6A0,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Right),#E6BBAB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Left),#CBA6A0,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#E6BBAB,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
