TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Power Vinyasa (Advanced) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,[Opening] Seated/lying meditation (focus on Ujjayi breath),#BE8C85,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutations A & B] Surya Namaskar A - 4 rounds (~2 min each),#FFD6BD,,0:08:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Sun Salutations A & B] Surya Namaskar B - 3 rounds (~2Ð2.5 min each),#385C66,,0:07:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Series] Warrior II (Right) _ Reverse Warrior _ Side Angle,#2D3E3B,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Series] Warrior II (Left) _ Reverse Warrior _ Side Angle,#66432D,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Series] Triangle (Right & Left),#2D3E3B,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Series] Half Moon (Right & Left),#66432D,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Arm Strength] Crow Pose (Bakasana),#C07872,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Arm Strength] Crow _ Chaturanga transitions (optional),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Arm Strength] Flying Pigeon (Eka Pada Galavasana) / Firefly,#97D8CC,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balances & Arm Strength] Transition / short rest,#BDF1FF,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Backbends] Camel Pose (Ustrasana) - 1Ð2 rounds,#73A5B3,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Backbends] Wheel Pose (Urdhva Dhanurasana) - 2 rounds,#856957,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Backbends] Optional drop-backs or extra variation,#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Deeper Backbends] Transition / rest,#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Headstand (Sirsasana) or Forearm Stand (Pincha),#4F403C,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Handstand practice (wall or free),#8B6C63,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Child's Pose (rest),#4F403C,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Right),#618B84,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Pigeon Pose (Left),#587674,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
