TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Slow and Steady (Beginner) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,"[Centering Breath] Box Breathing (Inhale 4, hold 4, exhale 4, hold 4)",#B38B73,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Centering Breath] Set intention or gentle mindful focus,#FFD6BD,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Shoulder Rolls (Forward),#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Shoulder Rolls (Backward),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Cat-Cow (Tabletop),#618B84,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Downward Dog (pedal feet),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Extended Sun Salutation A] Cycle 1 (Flow),#C07872,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Extended Sun Salutation A] Cycle 2,#66432D,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Extended Sun Salutation A] Cycle 3,#C07872,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Extended Sun Salutation A] Cycle 4,#66432D,,0:02:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Strength] Warrior I (Right),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Strength] Warrior I (Left),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Strength] Warrior II (Right),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Strength] Warrior II (Left),#BDF1FF,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing Strength] Standing Forward Fold (Uttanasana),#97D8CC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Hip Openers] Tree Pose (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Hip Openers] Tree Pose (Left),#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Hip Openers] Standing Figure-Four (Right),#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Hip Openers] Standing Figure-Four (Left),#856957,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Balance & Hip Openers] Transition / brief rest,#73A5B3,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Right),#BE8C85,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Twist (Left),#8B6C63,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"[Cool-Down] Butterfly Pose (Baddha Konasana, gentle fold)",#BE8C85,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#8B6C63,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#587674,,0:05:00,,,,FALSE,,,
