TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Wings (Advanced) (Yoga),#FB6767,Meditation Chime,,FALSE,,,,,,,,,,,1,,,,,[Warm-Up] Sun Salutation A (2Ð3 rounds),#BE8C85,,0:06:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Dolphin Pose transitions (Forearms to Plank),#FFD6BD,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Warm-Up] Short rest / Child's Pose,#BE8C85,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing & Core] Crescent Lunge (Right) _ Revolved Lunge,#2D3E3B,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing & Core] Crescent Lunge (Left) _ Revolved Lunge,#66432D,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing & Core] Chair Twist (Right & Left),#2D3E3B,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing & Core] Plank Holds / Core transitions,#66432D,,0:04:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Standing & Core] Short rest / transition,#2D3E3B,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Crow Pose (Bakasana) - warm-up,#BDF1FF,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Side Crow (Parsva Bakasana),#97D8CC,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Firefly (Tittibhasana) or Eight-Angle Pose (Astavakrasana),#BDF1FF,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Arm Balances] Eka Pada Koundinyasana variations (optional),#97D8CC,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Forearm Stand (Pincha Mayurasana) practice,#856957,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Headstand (Sirsasana) or Handstand (Adho Mukha Vrksasana),#73A5B3,,0:05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Child's Pose / rest,#856957,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Inversions] Transition,#73A5B3,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Backbends & Counterposes] Locust (Salabhasana) or Bow (Dhanurasana) - 1Ð2 rounds,#8B6C63,,0:03:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Backbends & Counterposes] Child's Pose or Rabbit Pose (counter stretch),#4F403C,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Seated Forward Fold (Paschimottanasana),#618B84,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Supine Twist (Right + Left),#587674,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Cool-Down] Transition to Savasana,#618B84,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,[Savasana] Final Relaxation,#ABE6E4,,0:05:00,,,,FALSE,,,
