TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Crossfader ,#4CFAD0,"Two Short, One Long Beep",One Vibration,FALSE,,,,,,,,,,,1,,,,,Warm Up,#FAE84C,,05:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Start... 3.0w/kg,#7EB3E1,,02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   3.4w/kg,#98C2E7,,02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   3.9w/kg,#89BD6D,,02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   4.4w/kg,#FFEE6D,,01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 2.8w/kg,#7EB3E1,,01:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SEATED MAX POWER GO GO GO,#FA4C4C,,00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 2.8w/kg,#7EB3E1,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SEATED MAX POWER GO GO GO,#FA4C4C,,00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 2.8w/kg,#7EB3E1,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SEATED MAX POWER GO GO GO,#FA4C4C,,00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 2.8w/kg,#7EB3E1,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,SEATED MAX POWER GO GO GO,#FA4C4C,,00:03,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 2.8w/kg,#7EB3E1,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   3.7w/kg,#89BD6D,,02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,UP!   7.5w/kg,#FA4C4C,,00:10,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 5.0w/kg,#F4AA32,,00:45,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Down... 3.0w/kg,#7EB3E1,,00:30,,,,FALSE,,,
